,职位名,详细链接,公司名,工作地点,薪资,发布时间
134,业务推广 google ads,https://jobs.51job.com/nanjing-pkq/121566102.html?s=01&t=0,焦点科技股份有限公司,南京-浦口区,0.7-1万/月,07-10
135,运营经理,https://jobs.51job.com/hefei-jkq/120561530.html?s=01&t=0,安徽九广全景智慧科技有限公司,异地招聘,7-9千/月,07-10
136,产品经理,https://jobs.51job.com/nanjing-yhtq/119415093.html?s=01&t=0,南京擎盾信息科技有限公司,南京-雨花台区,7-9千/月,07-10
137,软件工程师,https://jobs.51job.com/suzhou/123526308.html?s=01&t=0,旺宏微电子（苏州）有限公司,异地招聘,11-18万/年,07-10
138,数据挖掘工程师-工作地址 南京,https://jobs.51job.com/nanjing-yhtq/114590672.html?s=01&t=0,昆山炫生活信息技术股份有限公司,南京-雨花台区,1.5-2万/月,07-10
139,产品售前技术支持经理,https://jobs.51job.com/nanjing-yhtq/121764288.html?s=01&t=0,湖南晟医智能科技有限公司,南京-雨花台区,5-7千/月,07-10
140,运维实施工程师,https://jobs.51job.com/nanjing-jyq/123052160.html?s=01&t=0,南京星邺汇捷网络科技有限公司,南京-建邺区,5-7千/月,07-10
141,造价工程师（新能源电力工程方向）,https://jobs.51job.com/nanjing-pkq/122369474.html?s=01&t=0,南京誉泰瑞思科技有限公司,南京-浦口区,6-8千/月,07-10
142,系统架构师,https://jobs.51job.com/nanjing/120579934.html?s=01&t=0,南京奥拓电子科技有限公司,南京,2-3万/月,07-10
143,行业大客户经理（智慧环保化工）,https://jobs.51job.com/suzhou-gyyq/123516300.html?s=01&t=0,苏州中科先进技术研究院有限公司,异地招聘,0.5-1万/月,07-10
144,大数据开发工程师,https://jobs.51job.com/nanjing-qxq/123250231.html?s=01&t=0,辛巴网络科技（南京）有限公司,南京-栖霞区,1.5-2.5万/月,07-10
145,数据库开发工程师,https://jobs.51job.com/nanjing-yhtq/115122182.html?s=01&t=0,杭州讯赛电子科技有限公司,南京-雨花台区,0.8-1万/月,07-10
146,技术经理,https://jobs.51job.com/nanjing-jnq/121151951.html?s=01&t=0,南京粒聚智能科技有限公司,南京-江宁区,1.5-3万/月,07-10
147,需求分析师,https://jobs.51job.com/nanjing-pkq/119061223.html?s=01&t=0,中讯志远（武汉）科技有限公司,南京-浦口区,1-1.5万/月,07-10
148,业务运营（咪咕） (MJ002084),https://jobs.51job.com/nanjing/122521584.html?s=01&t=0,神州数码信息服务股份有限公司,南京,0.6-1万/月,07-10
149,数据开发工程师,https://jobs.51job.com/nanjing-yhtq/121961620.html?s=01&t=0,亚信科技（中国）有限公司,南京-雨花台区,1.2-2.2万/月,07-10
150,后端软件工程师,https://jobs.51job.com/nanjing/73761278.html?s=01&t=0,南京讯之智信息技术有限公司,南京,1-1.5万/月,07-10
151,数据架构专家（工业大脑）,https://jobs.51job.com/nanjing-jnq/123529551.html?s=01&t=0,浩鲸云计算科技股份有限公司,南京-江宁区,2-4万/月,07-10
152,运营策划,https://jobs.51job.com/nanjing-yhtq/123517824.html?s=01&t=0,南京迈特望科技股份有限公司,南京-雨花台区,0.6-1万/月,07-10
153,游戏运营总监,https://jobs.51job.com/nanjing/123504374.html?s=01&t=0,南京世赢乾网络科技有限公司,南京,1.5-2万/月,07-10
154,二类电商运营,https://jobs.51job.com/nanjing-yhtq/122832377.html?s=01&t=0,南京粲斯科技有限公司,南京-雨花台区,0.8-1万/月,07-10
155,市场推广专员,https://jobs.51job.com/nanjing-yhtq/122309597.html?s=01&t=0,南京泰立瑞信息科技有限公司,南京-雨花台区,0.5-1万/月,07-10
156,新媒体编辑,https://jobs.51job.com/nanjing-qxq/118579236.html?s=01&t=0,南京莱科智能工程研究院有限公司,南京-栖霞区,4-6千/月,07-10
157,售前咨询顾问,https://jobs.51job.com/nanjing/99168313.html?s=01&t=0,远光软件股份有限公司江苏分公司,南京,10-15万/年,07-10
158,大数据开发工程师,https://jobs.51job.com/nanjing-yhtq/123466226.html?s=01&t=0,南京百牛科技有限公司,南京-雨花台区,0.8-1.6万/月,07-10
159,互联网产品经理,https://jobs.51job.com/nanjing/123224675.html?s=01&t=0,南京大本营电子科技有限公司,南京,1-1.5万/月,07-10
160,硬件产品经理,https://jobs.51job.com/nanjing-jnq/122934883.html?s=01&t=0,南京机器岛智能科技有限公司,南京-江宁区,1.5-2万/月,07-10
161,高级前端开发工程师,https://jobs.51job.com/nanjing-pkq/122841875.html?s=01&t=0,江苏通付盾数字化技术有限公司,南京-浦口区,1.2-2.4万/月,07-09
162,实习生,https://jobs.51job.com/nanjing-jyq/119361229.html?s=01&t=0,南京城望投资管理有限公司,南京-建邺区,2-5千/月,07-09
163,Linux嵌入式软件工程师,https://jobs.51job.com/nanjing-qxq/122034164.html?s=01&t=0,南京图菱视频科技有限公司,南京-栖霞区,1.5-2.5万/月,07-09
164,农产品电商品牌运营总监,https://jobs.51job.com/nanjing-jnq/121152279.html?s=01&t=0,江苏叁拾叁信息技术有限公司,南京-江宁区,1.5-2万/月,07-09
165,产品经理（偏商务、产品售前）,https://jobs.51job.com/nanjing/80902824.html?s=01&t=0,南京紫米网络科技有限公司,南京,0.9-1.2万/月,07-09
166,数据服务工程师,https://jobs.51job.com/nanjing-qxq/113942628.html?s=01&t=0,江苏达科云数据科技有限公司,南京-栖霞区,1.5-2.5万/月,07-09
167,实时音视频性能测试工程师,https://jobs.51job.com/nanjing-yhtq/121449180.html?s=01&t=0,江苏怀业信息技术股份有限公司,南京-雨花台区,0.6-1.2万/月,07-09
168,软件销售经理（底薪12k-15k）,https://jobs.51job.com/nanjing-yhtq/122786061.html?s=01&t=0,南京万米信息技术有限公司,南京-雨花台区,1.5-2万/月,07-09
169,数据库/数据仓库/BI开发工程师,https://jobs.51job.com/nanjing/109616999.html?s=01&t=0,迪爱斯信息技术股份有限公司,南京,0.6-1.5万/月,07-09
170,新媒体运营专员,https://jobs.51job.com/nanjing-jnq/110873029.html?s=01&t=0,上海商鼎软件科技有限公司,南京-江宁区,4-8千/月,07-09
171,帆软报表开发工程师,https://jobs.51job.com/nanjing-jyq/122738226.html?s=01&t=0,南京创致优信息科技有限公司,南京-建邺区,0.8-1.5万/月,07-09
172,解决方案工程师,https://jobs.51job.com/nanjing/122347085.html?s=01&t=0,南京科融数据系统股份有限公司,南京,1.5-2.5万/月,07-09
